model_name,index,batch_size,optimizer,learning_rate,time_start,time_end,train_loss,train_accuracy,train_precision_macro_avg,train_recall_macro_avg,train_f1_score_macro_avg,val_loss,val_accuracy,val_precision_macro_avg,val_recall_macro_avg,val_f1_score_macro_avg,test_loss,test_accuracy,test_precision_macro_avg,test_recall_macro_avg,test_f1_score_macro_avg
rajpurkar,60,32,adam,0.001,2025-03-29T22:34:47.910213,2025-03-29T22:43:59.957550,0.2128195464611053,0.8047762513160706,0.7778479154048631,0.7014636361165051,0.7332656283825214,0.2618856728076935,0.7645034193992615,0.7244550765232732,0.6389790687227113,0.6749706658655241,0.2662656903266907,0.7746341228485107,0.7171580354681104,0.6284689081512799,0.6645678587961428
ribeiro,61,32,adam,0.001,2025-03-29T22:44:16.778709,2025-03-29T22:46:47.136514,0.217108279466629,0.8080913424491882,0.8031998654249195,0.6906222447103463,0.7364470343400901,0.2701451182365417,0.7645034193992615,0.7366484077720548,0.628115321539808,0.6709503025717953,0.2816300392150879,0.7653658390045166,0.7260975971266881,0.6195823719030497,0.6626219658746669
ahmed,62,32,adam,0.001,2025-03-29T22:46:58.262964,2025-03-29T22:48:31.895597,0.230085015296936,0.7827368378639221,0.802166691652447,0.6825279864249518,0.727345129879169,0.2832608520984649,0.7502458095550537,0.7565382601634698,0.6228985712231327,0.6708849843336994,0.2961964011192322,0.7556097507476807,0.7484278860976901,0.611709183869187,0.6590828004832515
baloglu,63,32,adam,0.001,2025-03-29T22:48:40.511768,2025-03-29T22:49:38.393901,0.1882420927286148,0.805267333984375,0.8576118586110171,0.7080086216197391,0.7674026156343223,0.2752601504325866,0.7502458095550537,0.7595151256169391,0.6070760797019851,0.6639460285272796,0.2902348041534424,0.7424390316009521,0.7441250648407108,0.5905411569820554,0.6476172238381248
rajpurkar,64,32,adam,0.01,2025-03-29T22:49:46.433615,2025-03-29T23:05:30.016532,0.1948512196540832,0.7972865104675293,0.8356649633004668,0.7153406037014504,0.7653522372625402,0.2591779828071594,0.7394297122955322,0.7585641243365653,0.642936425966646,0.689629132556533,0.2709322571754455,0.7463414669036865,0.7546362373414697,0.6373402815613988,0.6830679562150798
ribeiro,65,32,adam,0.01,2025-03-29T23:05:46.977227,2025-03-29T23:09:35.197125,0.1834223270416259,0.7824912667274475,0.8675020911040543,0.71819815248,0.7760662590720028,0.2580011188983917,0.7281219363212585,0.7839822671000549,0.630729453563161,0.6885790627985969,0.2590887546539306,0.7346341609954834,0.7852175142161509,0.6284107890581467,0.6852601576393825
ahmed,66,32,adam,0.01,2025-03-29T23:09:45.697644,2025-03-29T23:13:44.437218,0.1981684267520904,0.8160722255706787,0.8984157931152448,0.6871310728185867,0.7567061043682092,0.2772494256496429,0.747787594795227,0.8057594408380606,0.6112433552618383,0.6753362184175724,0.2894186675548553,0.7736585140228271,0.8147474916518943,0.6052437232683128,0.6691469301729952
baloglu,67,32,adam,0.01,2025-03-29T23:13:53.336577,2025-03-29T23:16:00.807699,0.5314478278160095,0.4630118608474731,0.0,0.0,0.0,0.5302013158798218,0.4631268382072449,0.0,0.0,0.0,0.5299373865127563,0.46536585688591,0.0,0.0,0.0
rajpurkar,68,32,adam,0.1,2025-03-29T23:16:08.824169,2025-03-29T23:22:22.279050,0.5382518172264099,0.4631960093975067,0.0,0.0,0.0,0.5347386002540588,0.4641101360321045,0.0,0.0,0.0,0.5369606018066406,0.4658536612987518,0.0,0.0,0.0
ribeiro,69,32,adam,0.1,2025-03-29T23:22:38.991161,2025-03-29T23:26:47.057129,0.3051391243934631,0.7472527623176575,0.6502863871713972,0.4542867225096453,0.4857266734167468,0.3241100907325744,0.7281219363212585,0.6111470285571035,0.4282424858328701,0.4592749422765816,0.3332136571407318,0.7263414859771729,0.6385227494153309,0.4264424104742127,0.4571283934445074
ahmed,70,32,adam,0.1,2025-03-29T23:26:58.079126,2025-03-29T23:31:11.493237,3207152.25,0.4631960093975067,0.2868460625101541,0.0011909956350553,0.0023641403676112,0.5303636789321899,0.4631268382072449,0.0,0.0,0.0,80.39393615722656,0.46536585688591,0.0,0.0,0.0
baloglu,71,32,adam,0.1,2025-03-29T23:31:20.086063,2025-03-29T23:33:28.856678,0.5315742492675781,0.4630118608474731,0.0,0.0,0.0,0.5302562713623047,0.4631268382072449,0.0,0.0,0.0,0.5300584435462952,0.46536585688591,0.0,0.0,0.0
rajpurkar,72,64,sgd,0.001,2025-03-29T23:33:36.924881,2025-03-29T23:46:50.973630,0.3396733999252319,0.7046473026275635,0.7323621453061961,0.5201821675151475,0.5700217787830875,0.3648175001144409,0.6917403936386108,0.7327252693967321,0.4998347269839787,0.5475045299671517,0.377202957868576,0.6765853762626648,0.7206783149577435,0.4852646508046067,0.5351603482034124
ribeiro,73,64,sgd,0.001,2025-03-29T23:47:07.851624,2025-03-29T23:56:59.440826,0.2867261171340942,0.7517957091331482,0.7974161041722881,0.5904795521846998,0.6446540009866739,0.3257756233215332,0.7310717701911926,0.7454177930679634,0.552590509857179,0.5999244017376808,0.3338799178600311,0.7239024639129639,0.7528941450648892,0.5428127598945975,0.5935698762991518
ahmed,74,64,sgd,0.001,2025-03-29T23:57:09.972883,2025-03-29T23:59:49.721941,0.3679786622524261,0.7269936800003052,0.8049080848960545,0.5531916830089434,0.6155490019037102,0.4267396032810211,0.7055063843727112,0.7567659118509001,0.5082304555927273,0.562277670749962,0.4634770452976227,0.6956097483634949,0.7448186455732958,0.4910344593793362,0.5434643642700012
baloglu,75,64,sgd,0.001,2025-03-29T23:59:58.260211,2025-03-30T00:05:28.371748,0.3175171911716461,0.7249063849449158,0.7323792391439128,0.5353379958804679,0.6066143410832451,0.3314741849899292,0.7173057794570923,0.6915413263418071,0.5033475851101864,0.5698372785031909,0.3492113351821899,0.6829268336296082,0.6900293585588116,0.4804888848878743,0.549835980248625
rajpurkar,76,64,sgd,0.01,2025-03-30T00:05:36.340821,2025-03-30T00:14:32.594579,0.2580457031726837,0.7744489908218384,0.8156386949389229,0.6291067549941147,0.6987330312813093,0.3268886208534241,0.73893803358078,0.7419709961796673,0.5552670632691391,0.6195600616820223,0.3411031663417816,0.740487813949585,0.747119174060351,0.5581665160291422,0.622096346183871
ribeiro,77,64,sgd,0.01,2025-03-30T00:14:49.264895,2025-03-30T00:18:39.855974,0.2355300039052963,0.7898581624031067,0.8410081271426553,0.6461192207218623,0.7080103296675611,0.3137039244174957,0.7517207264900208,0.7722575267052553,0.5809376665306486,0.6356499627650802,0.3250713050365448,0.7463414669036865,0.7715987778723405,0.5742646273754486,0.6280138247104476
ahmed,78,64,sgd,0.01,2025-03-30T00:18:50.783902,2025-03-30T00:21:49.964182,0.1196005493402481,0.8363926410675049,0.9052282082166172,0.8244332979040123,0.8606132481670492,0.2951489686965942,0.7291052341461182,0.725937042288193,0.625652838140062,0.6679497620878311,0.3037965893745422,0.7434146404266357,0.7290428337706901,0.6218726216223349,0.6650483947436687
baloglu,79,64,sgd,0.01,2025-03-30T00:21:58.642895,2025-03-30T00:24:24.528653,0.2460756450891494,0.7809564471244812,0.8222564458006495,0.6412279711452432,0.7105139424910696,0.3052717745304107,0.7399213314056396,0.7278863711098529,0.5614157923896679,0.6209072722445165,0.3196264207363128,0.730731725692749,0.7286378996170029,0.5414838242207612,0.6026094311862252
